(241758, 8904720),
(241758, 4301198),
(241758, 2223791),
(175454, 8765062),
(175454, 8352952),
(175454, 144552),
(175454, 4318126),
(175454, 3040391),
(804514, 2265071),
(804514, 5851203),
(804514, 1456857),
(804514, 5687693),
(804514, 7567997),
(804514, 3446728),
(804514, 9213052),
(804514, 3040391),
(736594, 2265071),
(736594, 5851203),
(736594, 1456857),
(736594, 9120319),
(736594, 5687693),
(736594, 7567997),
(736594, 3446728),
(736594, 6677374),
(736594, 4318126),
(736594, 9213052),
(736594, 3040391),
(513128, 7670464),
